Source,Target,Type,Id,Label,Weight,attribute,MMNT-EdgeType,Color
47,144,Undirected,2028,person-person,1,,person<--->person,"#000000"
34,85,Undirected,1996,person-person,1,,person<--->person,"#000000"
82,325,Undirected,2161,person-person,1,,person<--->person,"#000000"
80,304,Undirected,2133,person-person,2,,person<--->person,"#000000"
82,330,Undirected,2162,person-person,1,,person<--->person,"#000000"
82,333,Undirected,2163,person-person,1,,person<--->person,"#000000"
84,94,Undirected,2164,person-person,2,,person<--->person,"#000000"
84,95,Undirected,2165,person-person,4,,person<--->person,"#000000"
78,126,Undirected,2080,person-person,1,,person<--->person,"#000000"
84,96,Undirected,2166,person-person,5,,person<--->person,"#000000"
34,72,Undirected,1991,person-person,1,,person<--->person,"#000000"
84,97,Undirected,2167,person-person,3,,person<--->person,"#000000"
33,87,Undirected,1980,person-person,1,,person<--->person,"#000000"
27,321,Undirected,1962,person-person,1,,person<--->person,"#000000"
33,144,Undirected,1981,person-person,1,,person<--->person,"#000000"
80,122,Undirected,2116,person-person,2,,person<--->person,"#000000"
84,103,Undirected,2168,person-person,2,,person<--->person,"#000000"
33,178,Undirected,1982,person-person,1,,person<--->person,"#000000"
80,298,Undirected,2131,person-person,1,,person<--->person,"#000000"
80,126,Undirected,2117,person-person,2,,person<--->person,"#000000"
80,128,Undirected,2118,person-person,2,,person<--->person,"#000000"
25,189,Undirected,1948,person-person,1,,person<--->person,"#000000"
22,324,Undirected,1944,person-person,1,,person<--->person,"#000000"
22,304,Undirected,1942,person-person,1,,person<--->person,"#000000"
78,128,Undirected,2081,person-person,1,,person<--->person,"#000000"
22,157,Undirected,1938,person-person,1,,person<--->person,"#000000"
74,308,Undirected,2047,person-person,1,,person<--->person,"#000000"
22,143,Undirected,1936,person-person,2,,person<--->person,"#000000"
22,109,Undirected,1935,person-person,1,,person<--->person,"#000000"
22,91,Undirected,1932,person-person,1,,person<--->person,"#000000"
19,77,Undirected,1930,person-person,1,,person<--->person,"#000000"
33,181,Undirected,1983,person-person,1,,person<--->person,"#000000"
78,150,Undirected,2086,person-person,1,,person<--->person,"#000000"
78,176,Undirected,2087,person-person,1,,person<--->person,"#000000"
84,105,Undirected,2169,person-person,2,,person<--->person,"#000000"
16,189,Undirected,1915,person-person,1,,person<--->person,"#000000"
16,184,Undirected,1913,person-person,1,,person<--->person,"#000000"
16,132,Undirected,1909,person-person,1,,person<--->person,"#000000"
16,139,Undirected,1910,person-person,1,,person<--->person,"#000000"
84,111,Undirected,2170,person-person,4,,person<--->person,"#000000"
84,119,Undirected,2171,person-person,2,,person<--->person,"#000000"
33,306,Undirected,1984,person-person,2,,person<--->person,"#000000"
84,122,Undirected,2172,person-person,2,,person<--->person,"#000000"
84,126,Undirected,2173,person-person,2,,person<--->person,"#000000"
16,119,Undirected,1905,person-person,1,,person<--->person,"#000000"
16,105,Undirected,1903,person-person,1,,person<--->person,"#000000"
16,96,Undirected,1900,person-person,2,,person<--->person,"#000000"
80,132,Undirected,2119,person-person,2,,person<--->person,"#000000"
16,95,Undirected,1899,person-person,2,,person<--->person,"#000000"
78,132,Undirected,2082,person-person,1,,person<--->person,"#000000"
16,94,Undirected,1898,person-person,1,,person<--->person,"#000000"
84,128,Undirected,2174,person-person,2,,person<--->person,"#000000"
78,360,Undirected,2106,person-person,2,,person<--->person,"#000000"
84,132,Undirected,2175,person-person,2,,person<--->person,"#000000"
6,101,Undirected,1889,person-person,1,,person<--->person,"#000000"
6,87,Undirected,1887,person-person,1,,person<--->person,"#000000"
34,87,Undirected,1997,person-person,2,,person<--->person,"#000000"
78,139,Undirected,2083,person-person,1,,person<--->person,"#000000"
84,139,Undirected,2176,person-person,2,,person<--->person,"#000000"
76,308,Undirected,2054,person-person,1,,person<--->person,"#000000"
